route_id,route_name,origin_warehouse,destination_city,destination_country,distance_km,estimated_duration_hours,transport_mode,carrier_name,carrier_code,contract_type,base_cost_usd,cost_per_kg_usd,route_status,frequency_per_week,customs_required,cold_chain_required,max_payload_kg,avg_delay_hours,is_active
7770777,RT-2196,Jakarta-WH1,Makassar,Indonesia,444.0,5.1,Air,DHL,CR4240,Spot,201.25,2.37,Inactive,7,0,0,1000,3.04,1
7606992,RT-8374,Jakarta-WH1,Medan,Indonesia,142.0,11.9,Truck,SiCepat,CR1009,Spot,875.05,1.95,Active,3,0,1,5000,10.14,1
7330873,RT-4467,Jakarta-WH1,Jakarta,Indonesia,191.2,22.3,Truck,J&T,CR9850,Contracted,809.91,2.133,Suspended,1,0,0,2000,3.69,1
7703459,RT-7132,Bandung-WH,Bandung,Philippines,141.2,24.8,Truck,FedEx,CR8031,Contracted,146.91,3.463,Active,7,1,0,2000,3.46,1
7049945,RT-9565,Jakarta-WH1,Semarang,Indonesia,584.2,12.3,Truck,J&T,CR9826,Contracted,20.0,0.353,Inactive,7,0,0,5000,1.42,1
7525399,RT-1630,Jakarta-WH2,Surabaya,Indonesia,327.5,6.4,Truck,JNE,CR6083,Contracted,425.56,1.778,Active,5,0,1,10000,1.66,0
7967268,RT-2903,Surabaya-WH,Surabaya,Indonesia,189.9,84.6,Rail,J&T,CR3465,Dedicated,102.23,0.631,Active,5,1,1,500,1.04,1
7091626,RT-6092,Jakarta-WH1,Surabaya,Indonesia,788.2,14.2,Air,J&T,CR4398,Dedicated,216.37,2.619,Active,2,0,1,20000,4.52,1
7780440,RT-7807,Surabaya-WH,Medan,Indonesia,391.2,15.1,Truck,J&T,CR4505,Spot,146.49,1.75,Suspended,5,0,0,2000,1.13,1
7011929,RT-2405,Jakarta-WH1,Yogyakarta,Indonesia,81.1,50.6,Rail,Tiki,CR6518,Contracted,370.13,3.209,Inactive,3,1,1,5000,0.79,1
7896328,RT-2909,Surabaya-WH,Makassar,Indonesia,148.9,30.0,Truck,SiCepat,CR3559,Dedicated,74.14,3.319,Active,5,0,1,10000,0.2,0
7240628,RT-3948,Surabaya-WH,Manado,Indonesia,99.5,23.2,Truck,Pos Indonesia,CR8486,Spot,168.1,0.35,Active,2,1,0,500,2.5,1
7358841,RT-5212,Jakarta-WH1,Surabaya,Indonesia,289.8,49.6,Courier,JNE,CR7388,Dedicated,20.0,1.977,Active,7,0,0,2000,3.45,1
7475278,RT-9387,Jakarta-WH1,Jakarta,Philippines,403.2,17.2,Truck,SiCepat,CR8082,Spot,389.61,0.328,Active,7,0,1,5000,0.42,1
7896329,RT-5863,Bandung-WH,Bali,Indonesia,166.1,20.1,Air,DHL,CR7972,Contracted,56.22,2.48,Active,5,0,0,10000,4.24,1
7899036,RT-6727,Jakarta-WH1,Manado,Indonesia,935.5,12.7,Truck,FedEx,CR1650,Dedicated,125.14,0.99,Active,5,0,1,20000,2.67,0
7040919,RT-9449,Bandung-WH,Jakarta,Indonesia,10.0,50.2,Truck,J&T,CR8977,On-Demand,63.07,1.939,Active,2,1,1,20000,0.8,1
7492627,RT-7130,Jakarta-WH1,Makassar,Indonesia,64.0,1.2,Sea,SiCepat,CR6033,Contracted,139.35,2.727,Inactive,5,1,1,5000,3.77,1
7828388,RT-9768,Surabaya-WH,Bandung,Indonesia,326.7,12.1,Truck,SiCepat,CR1789,On-Demand,142.6,1.605,Active,1,0,0,2000,6.53,1
7294287,RT-1378,Surabaya-WH,Surabaya,Indonesia,804.8,8.0,Truck,J&T,CR7491,Dedicated,432.72,2.401,Active,3,1,0,500,0.82,1
7249046,RT-8230,Jakarta-WH2,Bali,Singapore,475.1,30.9,Rail,SiCepat,CR1491,Contracted,80.83,0.11,Active,7,0,1,5000,6.66,1
7067636,RT-3361,Jakarta-WH2,Jakarta,Indonesia,902.8,36.7,Truck,SiCepat,CR4578,Contracted,231.76,0.95,Active,7,0,1,5000,2.31,1
7239836,RT-6451,Jakarta-WH1,Semarang,Malaysia,109.0,49.0,Truck,Pos Indonesia,CR2904,Contracted,112.54,2.704,Active,7,1,0,10000,5.34,1
7692917,RT-3663,Jakarta-WH2,Jakarta,Singapore,180.4,19.3,Truck,DHL,CR4696,Contracted,72.06,2.619,Inactive,2,0,1,2000,3.1,1
7966708,RT-4991,Jakarta-WH1,Jakarta,Indonesia,265.6,16.2,Truck,FedEx,CR3228,Spot,212.89,1.794,Active,3,1,0,2000,0.76,1
7498716,RT-1179,Surabaya-WH,Jakarta,Malaysia,738.6,101.2,Courier,Pos Indonesia,CR1529,Spot,437.44,3.024,Active,3,0,0,500,6.62,1
7113106,RT-1988,Bandung-WH,Jakarta,Indonesia,101.4,9.5,Courier,JNE,CR1949,Contracted,228.27,0.973,Active,3,1,0,500,1.57,1
7063433,RT-2170,Jakarta-WH2,Bandung,Indonesia,10.0,23.8,Truck,J&T,CR8780,Contracted,252.55,1.869,Inactive,7,0,0,1000,2.71,1
7412177,RT-6549,Bandung-WH,Jakarta,Indonesia,730.7,10.8,Courier,SiCepat,CR7221,Dedicated,183.4,3.397,Suspended,2,1,0,2000,3.24,0
7490063,RT-6296,Bandung-WH,Makassar,Indonesia,495.6,9.1,Sea,FedEx,CR4318,Contracted,364.5,1.983,Active,3,0,0,1000,7.06,1
7590417,RT-4272,Surabaya-WH,Bandung,Philippines,211.4,19.7,Air,DHL,CR3958,Contracted,108.87,0.115,Seasonal,3,1,0,10000,1.54,1
7604403,RT-4230,Surabaya-WH,Jakarta,Indonesia,42.7,50.3,Truck,J&T,CR4578,Dedicated,128.36,3.184,Active,5,0,1,5000,3.38,1
7864329,RT-4381,Jakarta-WH1,Bandung,Indonesia,82.5,51.0,Truck,J&T,CR4868,Contracted,109.64,2.126,Active,3,0,1,10000,0.43,1
7113727,RT-7853,Surabaya-WH,Jakarta,Indonesia,226.3,13.7,Truck,Pos Indonesia,CR1410,Spot,31.22,3.408,Active,5,1,0,10000,0.44,1
7260624,RT-3490,Jakarta-WH1,Surabaya,Philippines,45.0,9.6,Truck,J&T,CR2786,Contracted,369.31,2.907,Inactive,1,0,0,5000,1.36,1
7301026,RT-7638,Jakarta-WH1,Bandung,Malaysia,250.2,34.2,Air,Pos Indonesia,CR2479,Contracted,41.31,1.57,Active,2,1,1,1000,2.29,0
7030591,RT-5555,Jakarta-WH2,Semarang,Indonesia,289.3,29.3,Truck,SiCepat,CR5109,Dedicated,81.87,3.355,Active,3,1,0,5000,3.27,1
7341945,RT-6038,Jakarta-WH2,Jakarta,Indonesia,737.0,49.0,Rail,J&T,CR8128,Contracted,50.99,0.123,Active,5,1,1,2000,1.46,1
7852496,RT-1111,Bandung-WH,Jakarta,Malaysia,213.7,4.2,Truck,JNE,CR3867,Spot,171.75,3.138,Active,7,0,1,2000,2.88,1
7612125,RT-4584,Jakarta-WH2,Semarang,Indonesia,742.4,29.5,Rail,DHL,CR8442,Contracted,206.11,2.179,Active,2,0,1,10000,2.9,0
7397930,RT-2324,Jakarta-WH1,Surabaya,Malaysia,1169.5,71.0,Truck,JNE,CR3669,Dedicated,121.93,1.927,Active,5,0,1,5000,4.61,1
7496210,RT-5517,Jakarta-WH1,Surabaya,Indonesia,237.0,12.8,Truck,JNE,CR5676,Dedicated,30.85,1.274,Active,1,0,0,5000,1.67,1
7209820,RT-5201,Bandung-WH,Semarang,Philippines,184.8,81.1,Air,JNE,CR2224,Contracted,60.18,1.998,Active,3,0,1,5000,4.76,1
7579479,RT-7099,Jakarta-WH1,Medan,Indonesia,529.0,50.6,Air,DHL,CR8974,On-Demand,440.2,0.19,Active,3,1,1,5000,0.77,1
7916503,RT-7534,Jakarta-WH2,Palembang,Indonesia,871.9,19.5,Air,DHL,CR9918,Spot,20.0,3.239,Suspended,7,0,1,10000,10.02,0
7595290,RT-1288,Jakarta-WH1,Bandung,Indonesia,483.0,7.6,Rail,J&T,CR2519,Dedicated,92.22,2.83,Active,3,0,0,2000,1.11,1
7790707,RT-9377,Jakarta-WH1,Bandung,Indonesia,137.6,43.3,Courier,DHL,CR8835,Spot,20.0,0.366,Active,3,1,1,20000,0.07,1
7257387,RT-7084,Jakarta-WH1,Jakarta,Indonesia,543.0,2.1,Truck,JNE,CR2818,Contracted,27.72,0.851,Active,3,0,1,20000,0.1,1
7411086,RT-2820,Jakarta-WH2,Jakarta,Indonesia,665.0,57.2,Rail,Pos Indonesia,CR7014,Spot,149.91,2.453,Active,7,1,1,2000,2.17,1
7104455,RT-8716,Jakarta-WH1,Palembang,Indonesia,552.4,68.4,Sea,J&T,CR5982,Contracted,88.88,3.062,Active,2,0,1,5000,0.78,1
7759500,RT-7918,Bandung-WH,Bandung,Malaysia,28.7,26.0,Sea,J&T,CR3713,Spot,184.25,1.628,Inactive,2,0,0,10000,1.3,1
7574174,RT-2588,Surabaya-WH,Jakarta,Indonesia,465.9,5.7,Air,DHL,CR7382,Spot,667.36,1.525,Active,5,0,1,2000,2.12,1
7302427,RT-8152,Jakarta-WH1,Makassar,Indonesia,517.9,10.0,Sea,DHL,CR5383,Dedicated,80.06,0.38,Active,1,0,1,5000,3.84,0
7409456,RT-6737,Jakarta-WH1,Makassar,Indonesia,1196.0,1.0,Courier,JNE,CR1017,Contracted,27.64,1.685,Inactive,1,0,0,1000,3.99,0
7717698,RT-6588,Surabaya-WH,Bandung,Vietnam,652.6,7.1,Truck,J&T,CR4621,Spot,25.73,0.484,Active,1,1,1,10000,3.15,1
7040995,RT-4586,Surabaya-WH,Surabaya,Indonesia,98.8,57.7,Truck,JNE,CR6053,Spot,63.35,0.551,Inactive,2,0,0,20000,4.51,1
7029330,RT-8423,Jakarta-WH1,Surabaya,Indonesia,404.8,30.3,Air,JNE,CR6093,Contracted,38.62,3.07,Active,7,0,0,5000,0.8,1
7936232,RT-1394,Jakarta-WH2,Jakarta,Indonesia,76.1,47.7,Sea,FedEx,CR2442,Spot,751.98,2.208,Inactive,5,0,1,5000,1.69,1
7732058,RT-5363,Jakarta-WH1,Jakarta,Indonesia,35.0,8.5,Courier,Tiki,CR3255,Spot,209.47,3.271,Seasonal,2,0,0,5000,3.88,1
7679788,RT-2234,Bandung-WH,Makassar,Indonesia,1657.7,45.0,Truck,DHL,CR3818,Spot,136.98,2.111,Active,5,0,0,1000,0.11,1
7195509,RT-3978,Jakarta-WH1,Medan,Indonesia,83.2,6.1,Sea,DHL,CR6312,On-Demand,303.37,1.369,Inactive,5,1,1,2000,2.04,1
7114296,RT-5099,Jakarta-WH1,Jakarta,Singapore,1407.3,17.7,Truck,J&T,CR9339,Contracted,860.61,3.176,Seasonal,3,0,0,2000,1.03,1
7886961,RT-3912,Jakarta-WH1,Jakarta,Indonesia,315.6,76.7,Truck,J&T,CR6590,Dedicated,127.9,2.09,Seasonal,3,1,0,1000,6.09,1
7497095,RT-5216,Jakarta-WH1,Jakarta,Indonesia,78.1,53.9,Truck,JNE,CR7821,Contracted,894.07,1.658,Active,1,1,1,1000,0.26,0
7940413,RT-4269,Jakarta-WH1,Jakarta,Indonesia,177.7,14.7,Sea,SiCepat,CR5550,Contracted,646.1,1.877,Active,3,0,0,5000,8.18,1
7276998,RT-1912,Jakarta-WH1,Surabaya,Indonesia,54.0,20.7,Air,J&T,CR7833,Contracted,343.85,2.095,Active,1,0,0,10000,0.82,1
7595578,RT-1275,Medan-WH,Bandung,Indonesia,10.0,3.4,Air,SiCepat,CR9357,On-Demand,71.57,1.759,Active,7,1,1,1000,0.25,1
7933716,RT-7984,Bandung-WH,Semarang,Malaysia,63.5,37.4,Sea,Pos Indonesia,CR6102,Contracted,29.37,3.257,Active,5,0,1,500,0.66,1
7513904,RT-3472,Surabaya-WH,Jakarta,Malaysia,609.0,5.6,Truck,SiCepat,CR8329,Spot,228.03,3.204,Suspended,2,0,1,500,0.07,0
7602255,RT-7940,Jakarta-WH1,Jakarta,Indonesia,973.4,6.4,Air,JNE,CR7812,Contracted,80.08,0.818,Active,3,0,1,2000,0.04,1
7433742,RT-6670,Surabaya-WH,Surabaya,Indonesia,568.1,99.1,Sea,J&T,CR9734,Dedicated,205.71,1.422,Active,7,0,0,5000,2.45,1
7154277,RT-1083,Medan-WH,Palembang,Malaysia,342.6,70.8,Truck,JNE,CR4313,Contracted,162.81,0.349,Active,3,0,0,2000,2.53,1
7231417,RT-7911,Jakarta-WH1,Palembang,Indonesia,758.2,72.6,Truck,J&T,CR3209,On-Demand,376.74,2.43,Active,2,0,0,2000,2.14,0
7317350,RT-7912,Jakarta-WH1,Jakarta,Indonesia,392.7,5.1,Truck,JNE,CR2496,On-Demand,20.0,0.544,Active,1,0,1,1000,6.68,1
7410268,RT-2048,Surabaya-WH,Surabaya,Indonesia,727.0,8.3,Truck,SiCepat,CR3441,Spot,178.85,1.947,Seasonal,3,1,0,2000,0.47,1
7572367,RT-7145,Jakarta-WH2,Medan,Indonesia,378.7,43.2,Truck,J&T,CR5743,Contracted,234.54,0.878,Inactive,2,1,0,5000,1.23,0
7842218,RT-9459,Jakarta-WH1,Yogyakarta,Indonesia,371.4,3.4,Sea,JNE,CR8577,Contracted,20.0,0.43,Active,1,0,0,500,3.47,1
7344716,RT-1573,Surabaya-WH,Jakarta,Singapore,386.4,138.7,Air,JNE,CR2058,Spot,20.0,3.026,Active,3,0,0,5000,1.48,1
7906094,RT-2160,Jakarta-WH1,Jakarta,Philippines,564.5,2.1,Truck,FedEx,CR2810,Contracted,21.96,0.368,Active,5,0,0,20000,10.05,1
7230302,RT-5601,Jakarta-WH1,Bandung,Indonesia,104.6,18.2,Truck,Pos Indonesia,CR5084,Dedicated,79.06,1.74,Active,7,0,1,10000,1.17,1
7929888,RT-4726,Surabaya-WH,Makassar,Indonesia,314.2,1.0,Air,FedEx,CR5978,Contracted,57.59,3.182,Active,1,0,1,2000,1.83,1
7019469,RT-1351,Medan-WH,Jakarta,Malaysia,127.4,30.7,Truck,JNE,CR2104,Contracted,55.34,0.099,Active,2,1,1,1000,6.13,1
7264651,RT-9236,Jakarta-WH2,Bandung,Singapore,371.1,1.9,Truck,Pos Indonesia,CR6499,Contracted,231.32,3.18,Active,7,0,0,1000,0.59,1
7626073,RT-6696,Surabaya-WH,Makassar,Indonesia,119.2,17.1,Air,Pos Indonesia,CR2864,Dedicated,28.16,0.583,Active,5,1,0,5000,1.9,1
7174932,RT-2397,Jakarta-WH2,Makassar,Philippines,1355.0,10.8,Air,J&T,CR8288,Spot,20.0,1.681,Active,5,0,1,10000,0.49,1
7416808,RT-7176,Jakarta-WH1,Makassar,Singapore,121.9,33.2,Truck,J&T,CR6258,Spot,113.59,3.046,Active,3,0,1,5000,0.86,1
7081051,RT-7484,Jakarta-WH2,Bandung,Indonesia,139.7,4.2,Air,SiCepat,CR9637,Contracted,276.52,1.788,Suspended,5,0,0,10000,2.75,1
7335478,RT-8329,Surabaya-WH,Jakarta,Malaysia,161.3,35.4,Truck,FedEx,CR2177,Spot,503.2,2.6,Active,3,0,0,5000,1.1,1
7461077,RT-1484,Surabaya-WH,Surabaya,Indonesia,107.7,36.5,Truck,FedEx,CR3288,Dedicated,350.24,1.395,Active,5,0,0,500,0.27,1
7065764,RT-6957,Surabaya-WH,Surabaya,Malaysia,345.4,9.5,Sea,SiCepat,CR7023,Spot,87.27,0.22,Seasonal,2,0,0,20000,2.74,1
7125293,RT-3292,Bandung-WH,Surabaya,Indonesia,74.7,33.7,Rail,SiCepat,CR5617,Contracted,74.57,1.684,Seasonal,5,0,1,5000,0.55,1
7525689,RT-1943,Jakarta-WH2,Semarang,Indonesia,246.2,39.2,Truck,J&T,CR8062,Dedicated,20.0,3.343,Active,5,0,0,2000,4.29,1
7222745,RT-1121,Surabaya-WH,Yogyakarta,Indonesia,817.7,22.5,Truck,J&T,CR7101,Spot,71.67,1.619,Active,2,0,0,2000,1.43,1
7849377,RT-7073,Jakarta-WH2,Palembang,Indonesia,515.9,46.4,Sea,JNE,CR8028,On-Demand,152.46,3.497,Active,5,0,0,2000,0.17,0
7473405,RT-3943,Bandung-WH,Makassar,Indonesia,272.9,29.5,Truck,FedEx,CR1459,Spot,20.0,2.268,Inactive,7,0,1,500,0.57,0
7021144,RT-2888,Jakarta-WH2,Yogyakarta,Indonesia,828.3,9.5,Truck,Pos Indonesia,CR4966,Contracted,220.61,2.468,Inactive,7,0,0,1000,2.47,1
8721512,RT-6139,Jakarta-WH2,Jakarta,Indonesia,599.6,39.9,Air,JNE,CR2065,Contracted,81.17,2.451,Inactive,5,1,1,2000,0.6,0
7105570,RT-3377,Jakarta-WH2,Jakarta,Indonesia,202.0,9.7,Courier,DHL,CR2019,Dedicated,350.77,2.868,Active,7,1,0,1000,0.47,1
7076748,RT-6952,Jakarta-WH1,Semarang,Singapore,277.1,55.3,Air,JNE,CR9378,Contracted,62.04,1.652,Seasonal,7,0,0,10000,6.04,1
7503053,RT-3171,Jakarta-WH2,Semarang,Indonesia,66.0,1.0,Truck,SiCepat,CR3229,Contracted,178.4,0.779,Active,1,0,0,1000,2.69,1
7335557,RT-3233,Jakarta-WH2,Jakarta,Indonesia,150.7,28.6,Truck,SiCepat,CR7512,Dedicated,126.35,3.253,Active,7,1,1,5000,4.16,1
7634511,RT-5967,Jakarta-WH2,Jakarta,Indonesia,2318.5,12.1,Air,J&T,CR2512,On-Demand,744.57,1.914,Active,2,0,0,10000,0.69,1
7688235,RT-8195,Bandung-WH,Palembang,Indonesia,469.4,4.6,Truck,J&T,CR3476,Contracted,32.93,1.934,Inactive,2,0,1,10000,0.08,1
7930905,RT-6119,Jakarta-WH1,Semarang,Indonesia,1801.4,3.0,Truck,JNE,CR8187,Spot,108.42,2.593,Active,3,0,1,2000,6.86,1
7252074,RT-2458,Surabaya-WH,Jakarta,Indonesia,1416.3,1.0,Truck,FedEx,CR5021,Dedicated,179.39,2.496,Active,5,0,1,5000,8.84,1
7355869,RT-3684,Bandung-WH,Medan,Malaysia,726.8,15.5,Truck,SiCepat,CR8321,On-Demand,46.56,2.93,Inactive,1,0,0,2000,1.64,1
7997616,RT-7375,Jakarta-WH1,Surabaya,Indonesia,187.7,2.6,Truck,SiCepat,CR4747,Contracted,352.76,1.719,Inactive,1,0,0,5000,4.18,1
7790128,RT-1814,Jakarta-WH1,Bandung,Indonesia,701.6,16.1,Sea,J&T,CR5788,Contracted,102.67,1.743,Active,3,0,0,500,4.53,1
7905452,RT-8895,Bandung-WH,Surabaya,Malaysia,1027.9,63.5,Air,J&T,CR5994,Contracted,370.43,0.258,Active,2,0,0,2000,3.32,0
7001986,RT-7712,Medan-WH,Medan,Indonesia,294.7,1.4,Air,JNE,CR3523,Contracted,110.06,2.119,Seasonal,1,1,1,500,3.66,1
7013449,RT-9606,Jakarta-WH2,Jakarta,Indonesia,169.0,9.1,Rail,J&T,CR9194,Contracted,30.18,0.779,Seasonal,2,0,0,20000,3.12,0
7770368,RT-5657,Jakarta-WH1,Surabaya,Malaysia,2809.9,54.5,Truck,Tiki,CR5988,Contracted,445.51,1.313,Active,5,1,0,5000,0.1,1
7281902,RT-9529,Jakarta-WH2,Jakarta,Indonesia,507.5,4.5,Truck,Tiki,CR8558,Spot,295.51,1.085,Active,7,0,1,5000,2.35,1
7123103,RT-3572,Surabaya-WH,Jakarta,Singapore,310.1,22.2,Truck,DHL,CR4625,Dedicated,104.03,3.002,Suspended,2,1,0,10000,2.21,1
7028117,RT-2318,Jakarta-WH2,Palembang,Singapore,998.0,27.5,Truck,JNE,CR8201,Contracted,20.0,0.822,Active,3,1,0,2000,2.34,1
7531042,RT-1186,Jakarta-WH2,Jakarta,Vietnam,33.4,146.5,Truck,DHL,CR9745,Spot,440.07,0.362,Active,5,0,1,1000,0.16,1
7264141,RT-1386,Surabaya-WH,Palembang,Indonesia,699.4,15.3,Truck,JNE,CR1234,Contracted,113.09,2.492,Active,7,0,1,2000,1.21,1
7704516,RT-5243,Surabaya-WH,Medan,Indonesia,19.3,14.3,Rail,SiCepat,CR5986,Spot,26.03,0.94,Active,5,1,1,5000,2.19,1
7183140,RT-9030,Medan-WH,Surabaya,Malaysia,369.3,89.5,Air,Pos Indonesia,CR6115,On-Demand,440.93,2.136,Active,2,1,1,1000,1.37,1
7701652,RT-5839,Jakarta-WH1,Surabaya,Indonesia,580.4,1.3,Truck,Pos Indonesia,CR9975,Contracted,242.46,1.543,Seasonal,5,0,1,5000,8.72,1
7166611,RT-1107,Jakarta-WH1,Yogyakarta,Indonesia,929.9,8.6,Sea,JNE,CR9856,Spot,477.43,2.308,Active,3,0,0,2000,5.93,1
8393337,RT-4343,Jakarta-WH1,Makassar,Indonesia,34.5,9.1,Truck,J&T,CR7182,Spot,109.82,0.074,Inactive,3,0,0,5000,1.52,0
7505133,RT-1534,Jakarta-WH2,Yogyakarta,Vietnam,10.0,9.8,Rail,Pos Indonesia,CR4393,Contracted,39.97,0.615,Active,1,0,0,1000,4.86,1
7482764,RT-1306,Jakarta-WH2,Yogyakarta,Indonesia,415.8,4.8,Truck,SiCepat,CR2698,Dedicated,530.29,0.458,Active,3,0,0,10000,1.86,1
7926250,RT-5641,Jakarta-WH2,Jakarta,Indonesia,252.9,38.5,Rail,J&T,CR9301,Dedicated,439.73,0.377,Active,3,1,1,5000,0.13,1
7694228,RT-8957,Jakarta-WH1,Jakarta,Indonesia,126.8,3.7,Sea,JNE,CR9497,Contracted,31.44,1.964,Active,2,0,1,10000,0.06,1
7614807,RT-5647,Jakarta-WH1,Medan,Indonesia,79.2,3.8,Courier,Tiki,CR1303,Contracted,112.27,1.145,Active,5,0,1,1000,2.84,1
7481053,RT-4627,Jakarta-WH1,Yogyakarta,Indonesia,69.7,8.4,Truck,JNE,CR6091,Contracted,20.0,0.111,Active,2,0,1,2000,2.23,1
8051114,RT-1593,Jakarta-WH2,Semarang,Indonesia,566.2,54.9,Sea,J&T,CR6168,Dedicated,98.32,2.004,Inactive,3,0,1,500,15.31,0
7437515,RT-2605,Jakarta-WH1,Medan,Malaysia,581.8,1.0,Truck,J&T,CR5626,Contracted,306.41,3.036,Active,1,0,0,1000,4.89,1
7514068,RT-2994,Jakarta-WH1,Makassar,Malaysia,104.1,20.2,Truck,J&T,CR2417,Dedicated,31.71,2.948,Active,5,1,1,1000,13.83,1
7395662,RT-4114,Jakarta-WH2,Bandung,Indonesia,776.1,12.8,Truck,SiCepat,CR9307,Dedicated,35.61,1.479,Inactive,5,0,1,10000,9.76,0
7700158,RT-6084,Jakarta-WH2,Medan,Indonesia,508.9,52.9,Truck,FedEx,CR7367,Spot,277.15,0.394,Active,2,1,1,500,2.73,1
7599381,RT-3795,Surabaya-WH,Jakarta,Indonesia,49.3,11.4,Courier,FedEx,CR6286,Contracted,52.38,2.47,Active,5,0,1,2000,5.05,1
7009207,RT-4706,Bandung-WH,Jakarta,Indonesia,10.0,6.0,Sea,JNE,CR9902,Spot,37.71,0.245,Seasonal,3,0,0,500,1.2,1
7062447,RT-2966,Jakarta-WH1,Semarang,Indonesia,486.2,1.6,Truck,SiCepat,CR5332,Spot,20.0,2.354,Suspended,1,0,0,5000,3.75,1
7384796,RT-6163,Bandung-WH,Medan,Indonesia,77.6,16.5,Air,J&T,CR1304,On-Demand,80.51,1.467,Inactive,5,0,1,2000,0.49,1
7751245,RT-9131,Medan-WH,Surabaya,Malaysia,322.7,14.0,Truck,SiCepat,CR8897,Spot,229.54,3.389,Active,2,1,1,1000,4.43,1
7555926,RT-4948,Jakarta-WH1,Surabaya,Indonesia,10.0,14.5,Truck,Tiki,CR8211,Spot,38.19,2.899,Inactive,3,1,0,5000,2.37,1
7862140,RT-2053,Jakarta-WH2,Surabaya,Indonesia,465.8,1.0,Truck,J&T,CR8383,Contracted,33.4,2.545,Active,2,1,1,1000,1.89,1
7544624,RT-2388,Jakarta-WH1,Semarang,Malaysia,458.7,8.1,Sea,SiCepat,CR6154,Contracted,432.36,1.43,Active,2,1,1,20000,0.3,0
7026673,RT-2381,Bandung-WH,Jakarta,Malaysia,401.0,38.4,Courier,J&T,CR5245,Contracted,123.88,0.554,Active,5,0,0,2000,0.95,1
7621521,RT-5004,Jakarta-WH2,Jakarta,Indonesia,115.8,1.0,Truck,FedEx,CR9216,On-Demand,91.84,2.037,Active,3,1,0,5000,5.69,1
7718784,RT-8650,Jakarta-WH2,Bandung,Indonesia,938.1,52.3,Truck,JNE,CR4165,Dedicated,174.35,1.051,Active,2,0,1,10000,0.01,1
7266418,RT-1089,Bandung-WH,Semarang,Indonesia,614.2,71.7,Truck,SiCepat,CR4714,Contracted,758.9,2.896,Active,3,0,0,10000,3.95,0
7857500,RT-8766,Jakarta-WH1,Jakarta,Singapore,214.9,5.9,Air,Tiki,CR5871,Contracted,346.65,1.903,Seasonal,5,0,1,2000,1.11,1
7703564,RT-7987,Jakarta-WH1,Yogyakarta,Indonesia,41.0,2.6,Sea,JNE,CR4774,Contracted,705.83,1.265,Active,3,0,1,5000,7.63,1
7618889,RT-8083,Surabaya-WH,Bali,Indonesia,339.1,14.4,Air,DHL,CR3897,Spot,39.68,1.447,Active,3,1,1,10000,4.91,0
